cell_type,count,percentage,proportional_sample,sqrt_sample,stratified_sample
umbrella cell of urothelium,0,0.0,0,0,0
unipolar brush cell,0,0.0,0,0,0
uterine smooth muscle cell,0,0.0,0,0,0
type EC enteroendocrine cell,0,0.0,0,0,0
vasa recta ascending limb cell,0,0.0,0,0,0
vasa recta cell,0,0.0,0,0,0
vasa recta descending limb cell,0,0.0,0,0,0
vascular associated smooth muscle cell,0,0.0,0,0,0
vascular leptomeningeal cell,0,0.0,0,0,0
vascular lymphangioblast,0,0.0,0,0,0
vein endothelial cell,0,0.0,0,0,0
vein endothelial cell of respiratory system,0,0.0,0,0,0
ventricular cardiac muscle cell,0,0.0,0,0,0
vestibular dark cell,0,0.0,0,0,0
type G enteroendocrine cell,0,0.0,0,0,0
type D enteroendocrine cell,0,0.0,0,0,0
thalamic excitatory neuron,0,0.0,0,0,0
tracheobronchial goblet cell,0,0.0,0,0,0
theca cell,0,0.0,0,0,0
thymic fibroblast type 1,0,0.0,0,0,0
thymic fibroblast type 2,0,0.0,0,0,0
thyroid follicular cell,0,0.0,0,0,0
tip cell,0,0.0,0,0,0
tissue-resident macrophage,0,0.0,0,0,0
tongue muscle cell,0,0.0,0,0,0
tonsil germinal center B cell,0,0.0,0,0,0
trabecular meshwork cell,0,0.0,0,0,0
tracheal goblet cell,0,0.0,0,0,0
tracheobronchial serous cell,0,0.0,0,0,0
type B pancreatic cell,0,0.0,0,0,0
tracheobronchial smooth muscle cell,0,0.0,0,0,0
transit amplifying cell,0,0.0,0,0,0
transit amplifying cell of colon,0,0.0,0,0,0
transit amplifying cell of small intestine,0,0.0,0,0,0
transitional stage B cell,0,0.0,0,0,0
trophoblast giant cell,0,0.0,0,0,0
tuft cell,0,0.0,0,0,0
tuft cell of colon,0,0.0,0,0,0
tuft cell of small intestine,0,0.0,0,0,0
type A enteroendocrine cell,0,0.0,0,0,0
serotonergic neuron,0,0.0,0,0,0
seromucus secreting cell,0,0.0,0,0,0
sensory neuron of dorsal root ganglion,0,0.0,0,0,0
photoreceptor cell,0,0.0,0,0,0
pericyte,0,0.0,0,0,0
peridermal cell,0,0.0,0,0,0
perineurial cell,0,0.0,0,0,0
peripheral blood mononuclear cell,0,0.0,0,0,0
peripheral nervous system neuron,0,0.0,0,0,0
periportal region hepatocyte,0,0.0,0,0,0
peritubular capillary endothelial cell,0,0.0,0,0,0
peritubular myoid cell,0,0.0,0,0,0
perivascular cell,0,0.0,0,0,0
perivascular macrophage,0,0.0,0,0,0
pigmented ciliary epithelial cell,0,0.0,0,0,0
peg cell,0,0.0,0,0,0
pigmented epithelial cell,0,0.0,0,0,0
pinealocyte,0,0.0,0,0,0
placental villous trophoblast,0,0.0,0,0,0
pluripotent stem cell,0,0.0,0,0,0
podocyte,0,0.0,0,0,0
pre-B-I cell,0,0.0,0,0,0
preadipocyte,0,0.0,0,0,0
premigratory neural crest cell,0,0.0,0,0,0
primary cultured cell,0,0.0,0,0,0
primary sensory neuron (sensu Teleostei),0,0.0,0,0,0
kidney collecting duct cell,0,0.0,0,0,0
parietal epithelial cell,0,0.0,0,0,0
progenitor cell of endocrine pancreas,0,0.0,0,0,0
pancreatic PP cell,0,0.0,0,0,0
noradrenergic cell,0,0.0,0,0,0
odontoblast,0,0.0,0,0,0
oligodendrocyte,0,0.0,0,0,0
oligodendrocyte precursor cell,0,0.0,0,0,0
oocyte,0,0.0,0,0,0
oogonial cell,0,0.0,0,0,0
oral mucosa squamous cell,0,0.0,0,0,0
ovarian surface epithelial cell,0,0.0,0,0,0
pancreatic A cell,0,0.0,0,0,0
pancreatic D cell,0,0.0,0,0,0
pancreatic acinar cell,0,0.0,0,0,0
parietal cell,0,0.0,0,0,0
pancreatic ductal cell,0,0.0,0,0,0
pancreatic endocrine cell,0,0.0,0,0,0
pancreatic epsilon cell,0,0.0,0,0,0
pancreatic stellate cell,0,0.0,0,0,0
paneth cell,0,0.0,0,0,0
paneth cell of colon,0,0.0,0,0,0
paneth cell of epithelium of small intestine,0,0.0,0,0,0
papillary tips cell,0,0.0,0,0,0
parasol ganglion cell of retina,0,0.0,0,0,0
paraxial cell,0,0.0,0,0,0
pro-T cell,0,0.0,0,0,0
progenitor cell of mammary luminal epithelium,0,0.0,0,0,0
sensory neuron,0,0.0,0,0,0
retinal pigment epithelial cell,0,0.0,0,0,0
respiratory tract suprabasal cell,0,0.0,0,0,0
reticular cell,0,0.0,0,0,0
reticulocyte,0,0.0,0,0,0
retina horizontal cell,0,0.0,0,0,0
retinal astrocyte,0,0.0,0,0,0
retinal bipolar neuron,0,0.0,0,0,0
retinal blood vessel endothelial cell,0,0.0,0,0,0
retinal cell,0,0.0,0,0,0
retinal cone cell,0,0.0,0,0,0
retinal ganglion cell,0,0.0,0,0,0
retinal progenitor cell,0,0.0,0,0,0
respiratory tract hillock cell,0,0.0,0,0,0
retinal rod cell,0,0.0,0,0,0
rod bipolar cell,0,0.0,0,0,0
salivary gland cell,0,0.0,0,0,0
salivary gland glandular cell,0,0.0,0,0,0
sebaceous gland cell,0,0.0,0,0,0
sebocyte,0,0.0,0,0,0
secondary crest myofibroblast,0,0.0,0,0,0
secondary lens fiber,0,0.0,0,0,0
secondary lymphoid organ macrophage,0,0.0,0,0,0
secretory cell,0,0.0,0,0,0
respiratory tract multiciliated cell,0,0.0,0,0,0
respiratory tract goblet cell,0,0.0,0,0,0
prostate gland microvascular endothelial cell,0,0.0,0,0,0
pvalb GABAergic cortical interneuron,0,0.0,0,0,0
prostate neuroendocrine cell,0,0.0,0,0,0
prostate stromal cell,0,0.0,0,0,0
pulmonary alveolar epithelial cell,0,0.0,0,0,0
pulmonary alveolar type 1 cell,0,0.0,0,0,0
pulmonary alveolar type 2 cell,0,0.0,0,0,0
pulmonary artery endothelial cell,0,0.0,0,0,0
pulmonary capillary endothelial cell,0,0.0,0,0,0
pulmonary interstitial fibroblast,0,0.0,0,0,0
pulmonary ionocyte,0,0.0,0,0,0
pulmonary neuroendocrine cell,0,0.0,0,0,0
pyramidal neuron,0,0.0,0,0,0
respiratory tract epithelial cell,0,0.0,0,0,0
radial glial cell,0,0.0,0,0,0
regular atrial cardiac myocyte,0,0.0,0,0,0
regular ventricular cardiac myocyte,0,0.0,0,0,0
renal alpha-intercalated cell,0,0.0,0,0,0
renal beta-intercalated cell,0,0.0,0,0,0
renal intercalated cell,0,0.0,0,0,0
renal interstitial pericyte,0,0.0,0,0,0
renal medullary fibroblast,0,0.0,0,0,0
renal principal cell,0,0.0,0,0,0
respiratory basal cell,0,0.0,0,0,0
kidney collecting duct intercalated cell,0,0.0,0,0,0
immature pericyte,0,0.0,0,0,0
kidney collecting duct alpha-intercalated cell,0,0.0,0,0,0
brainstem motor neuron,0,0.0,0,0,0
basal epithelial cell of prostatic duct,0,0.0,0,0,0
basal epithelial cell of tracheobronchial tree,0,0.0,0,0,0
basal-myoepithelial cell of mammary gland,0,0.0,0,0,0
bipolar neuron,0,0.0,0,0,0
bladder urothelial cell,0,0.0,0,0,0
blood cell,0,0.0,0,0,0
blood vessel endothelial cell,0,0.0,0,0,0
blood vessel smooth muscle cell,0,0.0,0,0,0
bone marrow cell,0,0.0,0,0,0
brain vascular cell,0,0.0,0,0,0
bronchial epithelial cell,0,0.0,0,0,0
basal cell of prostate epithelium,0,0.0,0,0,0
bronchial goblet cell,0,0.0,0,0,0
bronchial smooth muscle cell,0,0.0,0,0,0
